"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"1770","D81605",25.46,0.25,9.26,14.64,1.19,1.18,4.46,4.4,13.46,0.19,3.38,5.04
"1771","D81606",18.96,0.19,6.64,15.54,0.92,0.96,3.44,3.43,11.54,0.12,2.22,7.51
"1772","D81607",19.54,0.2,6.98,14.96,0.94,1,3.5,3.57,11.57,0.13,2.84,3.52
"1773","D81611",23.48,0.23,7.81,16.72,1.13,1.14,4.42,4.03,13.92,0.18,3.63,4.88
"1774","D81612",18.89,0.19,6.66,14.29,0.88,0.91,3.49,3.48,11.59,0.12,2.35,7.06
"1775","D81615",19.39,0.19,7.28,15.29,0.95,0.95,3.6,3.61,11.57,0.11,2.21,7.95
"1776","D81616",18.99,0.19,6.27,16.29,0.87,0.9,3.32,3.3,11.6,0.11,2.21,8.97
"1777","D81618",22.22,0.22,6.91,15.99,0.91,0.96,3.6,3.66,12.86,0.18,3.43,12.48
"1778","D81619",19.69,0.2,6.54,16,0.92,0.98,3.36,3.42,11.57,0.13,2.38,11.95
"1779","D81620",16.14,0.16,6.91,15.97,0.92,0.94,3.07,3.33,10.27,0.1,1.33,6.24
"1780","D81622",18.01,0.18,7.07,20.58,0.99,1.05,3.69,3.67,11.11,0.1,2.74,8.31
"1781","D81623",23.15,0.23,6.73,15.42,0.93,0.98,3.47,3.49,12.79,0.2,3.19,6.29
"1782","D81624",16.19,0.16,7.12,16.43,0.96,0.95,3.44,3.35,10.33,0.09,2.41,6.22
"1783","D81625",14.97,0.15,6.52,16.2,0.87,0.87,3.16,3.12,10.08,0.09,1.54,5.38
"1784","D81629",19.17,0.19,6.56,17.7,0.93,0.96,3.44,3.34,11.58,0.12,3.26,7.28
"1785","D81630",14.22,0.14,6.51,13.83,0.85,0.86,3.2,3.25,10.04,0.06,1.09,14.9
"1786","D81631",14.43,0.14,7.5,15.14,0.96,0.92,3.53,3.45,9.97,0.06,1.7,4.14
"1787","D81633",15.71,0.16,6.81,16.62,0.94,0.97,3.38,3.42,10.46,0.07,1.77,10.95
"1788","D81637",12.5,0.12,5.65,15.06,0.75,0.79,3.05,3.08,9.97,0.06,1.1,11.04
"1789","D81645",18.35,0.18,7.17,15.17,0.93,0.94,3.35,3.45,11,0.1,2.4,2.97
"1790","D82001",28.84,0.29,7.78,17.54,1.05,1.12,3.92,4.15,14.26,0.15,4.35,3.01
"1791","D82002",20.46,0.2,7.36,17.59,1,1.05,3.83,3.83,12.31,0.14,3.18,10.67
"1792","D82003",25.34,0.25,8.15,17.99,1.13,1.18,4.2,4.23,13.45,0.17,3.93,6.58
"1793","D82004",29.48,0.29,7.8,18.33,1.09,1.14,4.11,4.12,14.62,0.2,5.37,7.1
"1794","D82005",31.41,0.31,8.25,16.99,1.16,1.2,4.55,4.36,15.38,0.22,6.18,4.89
"1795","D82006",24.16,0.24,6.91,16.11,0.93,0.97,4.01,3.8,13.68,0.16,3.38,5.18
"1796","D82007",25.74,0.26,8.02,19.23,1.1,1.16,4.21,4.24,13.42,0.19,4.3,9.04
"1797","D82008",19.34,0.19,7.03,15.52,0.92,0.96,3.63,3.62,11.9,0.13,2.98,8.63
"1798","D82009",28.07,0.28,7.69,18.31,1.07,1.14,3.85,4.05,14.26,0.23,4.71,9.5
"1799","D82010",26.69,0.27,7.83,17.59,1.12,1.17,4.01,4.01,14.2,0.23,6.09,10.04
"1800","D82011",21.56,0.22,7.03,16.09,0.93,0.98,3.63,3.63,12.25,0.15,3.66,11.16
"1801","D82012",21.12,0.21,7.26,16.72,0.98,1.03,3.73,3.71,12.29,0.14,3.45,7.36
"1802","D82013",20.1,0.2,6.88,16.06,0.96,1,3.57,3.53,11.78,0.12,2.57,9.13
"1803","D82015",28.34,0.28,8.04,17.19,1.09,1.14,4.3,4.26,14.46,0.21,5.67,6.07
"1804","D82016",25.48,0.25,7.11,16.53,0.97,1.02,3.93,3.8,13.78,0.15,3.81,5.25
"1805","D82017",18.06,0.18,6.67,14.95,0.89,0.93,3.34,3.37,11.45,0.13,3.29,7.32
"1806","D82018",24.78,0.25,7.5,16.45,1,1.05,3.95,3.96,13.36,0.15,3.87,5.74
"1807","D82019",24.79,0.25,7.98,18.19,1.13,1.18,4.23,4.12,13.32,0.18,4.21,9.34
"1808","D82020",22.39,0.22,7.56,17.39,1.04,1.08,4.1,3.99,12.86,0.15,3.27,12.18
"1809","D82022",23.53,0.24,7.39,16.37,1.01,1.06,3.9,3.88,13.26,0.17,3.68,8.02
"1810","D82023",19.12,0.19,7.11,16.09,0.94,1,3.63,3.75,11.75,0.13,2.96,7.76
"1811","D82024",20.72,0.21,6.96,15.82,0.92,0.98,3.64,3.69,12.04,0.13,3.11,10.61
"1812","D82025",28.93,0.29,7.63,16.6,1.07,1.09,4.36,4.06,15.01,0.23,5.58,7.31
"1813","D82026",21.45,0.21,7.04,16.76,0.93,0.97,3.67,3.63,12.47,0.13,3.67,9.21
"1814","D82027",31.84,0.32,7.82,17.92,1.08,1.12,4.36,4.2,15.22,0.23,5.72,7.03
"1815","D82028",29.67,0.3,7.93,17.62,1.12,1.16,4.32,4.2,14.97,0.2,5.61,8.63
"1816","D82029",22.65,0.23,7.25,15.97,0.99,1.03,3.89,3.8,12.85,0.14,3.47,5.3
"1817","D82030",24.67,0.25,6.8,16.5,0.92,0.96,3.78,3.66,13.55,0.15,3.5,3.01
"1818","D82031",23.89,0.24,7.57,16.57,1.05,1.11,3.89,3.9,13.2,0.19,4.27,3.86
"1819","D82032",24.38,0.24,7.15,15.92,0.97,1.02,3.84,3.78,13.13,0.17,3.59,7.69
"1820","D82034",23.22,0.23,7.43,16.23,1.02,1.06,4.04,3.93,13.07,0.15,3.63,8.07
"1821","D82035",25.49,0.25,7.26,19.42,0.99,1.05,3.88,3.89,13.61,0.18,4.87,5.61
"1822","D82036",24.32,0.24,6.72,15.83,0.9,0.96,3.71,3.68,13.22,0.17,4.37,3.62
"1823","D82037",21.9,0.22,6.97,15.93,0.96,1.01,3.76,3.69,12.76,0.15,3.25,6.18
"1824","D82038",28.31,0.28,7.86,17.88,1.05,1.11,4.11,4.26,14.35,0.16,4.67,8.6
"1825","D82039",25.4,0.25,7.29,16.22,1.02,1.04,4.17,3.91,14.23,0.19,4.16,4.99
"1826","D82040",17.26,0.17,6.67,16.65,0.89,0.92,3.54,3.41,11.17,0.1,2.54,7.48
"1827","D82041",20.22,0.2,7.55,17.81,1.03,1.08,3.92,3.91,12.22,0.13,2.93,8.94
"1828","D82042",24.12,0.24,7.08,16.21,0.97,1,4.11,3.83,13.89,0.13,3.69,5.53
"1829","D82043",24.49,0.24,7.34,16.88,1.05,1.07,4.24,3.92,13.84,0.17,3.87,4.63
"1830","D82044",25.49,0.25,7.93,17.86,1.09,1.15,4.18,4.11,13.51,0.19,4.81,7.42
"1831","D82045",21.93,0.22,7.25,15.59,0.99,1.04,3.84,3.83,12.44,0.15,3.47,8.23
"1832","D82046",25.23,0.25,7.12,16.22,0.99,1.02,4.06,3.8,14.22,0.18,3.37,3.75
"1833","D82047",19.07,0.19,6.83,16.56,0.9,0.93,3.52,3.53,11.56,0.12,3.2,4.77
"1834","D82048",21.89,0.22,6.94,16.86,0.93,0.98,3.76,3.7,12.3,0.14,3.39,6.54
"1835","D82049",26.25,0.26,7.66,16.65,1.09,1.12,4.29,4.07,14.43,0.19,4.34,1.23
"1836","D82050",24.42,0.24,7.63,17.17,1.05,1.09,4.18,4.06,13.52,0.16,3.86,5.07
"1837","D82051",23.4,0.23,7.49,18.37,1.04,1.09,3.97,3.88,13.03,0.15,4.01,3.99
"1838","D82053",30.31,0.3,8.36,17.9,1.18,1.24,4.33,4.33,14.93,0.22,7.34,10.46
"1839","D82054",26.72,0.27,7.66,17.88,1.05,1.11,3.97,4.09,13.94,0.16,5.08,6.97
"1840","D82056",25.51,0.26,7.27,16.82,0.99,1.04,3.99,3.92,13.98,0.17,4.25,5.46
"1841","D82057",28.19,0.28,8.13,17.88,1.13,1.2,4.13,4.24,14.16,0.23,6.08,13.9
"1842","D82058",27.75,0.28,7.85,18.53,1.09,1.15,4.21,4.19,14.18,0.22,4.68,4.3
"1843","D82059",26.28,0.26,7.64,17.87,1.06,1.11,4.06,4.07,13.76,0.17,4.29,10.48
"1844","D82060",19.58,0.2,7.32,12.83,0.97,1,3.66,3.65,12.15,0.13,2.58,9.16
"1845","D82062",23.44,0.23,7.37,16.44,1.03,1.07,4.01,3.86,13.27,0.16,3.24,9.35
"1846","D82063",25.22,0.25,7.88,17.1,1.08,1.12,4.29,4.17,13.69,0.21,4.46,6.02
"1847","D82064",22.25,0.22,7.01,15.38,0.93,0.98,3.72,3.76,12.36,0.14,3.55,6.71
"1848","D82065",27.86,0.28,7.84,18.26,1.08,1.14,4.04,4.13,14.12,0.24,5.38,8.26
"1849","D82066",27.21,0.27,7.71,17.69,1.06,1.12,4.1,4.11,14.04,0.19,4.36,5.96
"1850","D82067",22.71,0.23,8,19.91,1.11,1.15,4.3,4.16,12.63,0.15,3.94,8.56
"1851","D82068",27.47,0.27,7.81,17.09,1.06,1.1,4.21,4.15,14.36,0.16,5.22,5.7
"1852","D82069",22.84,0.23,6.79,14.22,0.89,0.94,3.49,3.55,12.68,0.12,3.28,4.63
"1853","D82070",26.34,0.26,7.55,18.18,1.04,1.1,3.86,3.99,13.91,0.18,4.81,6.53
"1854","D82071",23.86,0.24,7.18,16.31,0.94,0.99,3.88,3.84,12.99,0.16,3.9,2.36
"1855","D82072",30.43,0.3,8.05,17.64,1.11,1.18,4.04,4.17,15.11,0.19,5.43,4.14
"1856","D82073",21.09,0.21,6.95,17.07,0.94,0.98,3.54,3.6,12.41,0.13,3.36,6.6
"1857","D82076",20.8,0.21,7.19,16.57,0.98,1.02,3.72,3.7,12.21,0.14,3.56,4.65
"1858","D82078",23.42,0.23,6.76,15.9,0.89,0.94,3.68,3.71,12.86,0.15,3.37,6.23
"1859","D82079",25.04,0.25,7.41,17.15,1.07,1.1,3.96,3.83,13.84,0.21,3.98,11.25
"1860","D82080",24.09,0.24,7.4,16.01,1.02,1.07,4.02,3.9,13.01,0.18,4.03,5.84
"1861","D82081",25.44,0.25,7.66,18.12,1.09,1.15,4.04,3.96,13.43,0.17,4.36,10.03
"1862","D82084",25.75,0.26,7.01,16.08,0.96,0.97,4.18,3.84,14.21,0.16,4.1,3.58
"1863","D82085",24.47,0.24,6.86,16.67,0.93,0.98,3.7,3.67,13.61,0.16,3.57,8.36
"1864","D82087",16.52,0.17,6.47,18.88,0.87,0.9,3.61,3.42,10.94,0.09,2.12,8.25
"1865","D82088",3.4,0.03,4.53,11.1,0.64,0.67,2.36,2.4,5.09,0.01,0.08,6.41
"1866","D82096",17.77,0.18,6.79,18.53,0.92,0.96,3.71,3.54,11.31,0.1,3.05,10.19
"1867","D82098",24.26,0.24,8.18,18.65,1.12,1.18,4.17,4.24,13.05,0.18,2.83,5.21
"1868","D82099",18.33,0.18,6.78,19.51,0.96,1,3.63,3.54,11.41,0.12,2.68,12.42
"1869","D82100",25.9,0.26,7.43,16.94,1.07,1.1,4.12,3.92,14.18,0.22,4.38,5.6
"1870","D82102",21.56,0.22,7.71,20.1,1.07,1.11,4.14,3.95,12.45,0.14,3.28,7.79
"1871","D82104",25.23,0.25,7.31,16.62,1.02,1.07,3.89,3.81,13.67,0.16,3.91,4.53
"1872","D82105",24.82,0.25,7.6,18.78,1.08,1.14,3.96,3.91,13.43,0.19,3.63,3.61
"1873","D82106",19.38,0.19,6.78,15.15,0.89,0.93,3.55,3.52,11.98,0.11,2.51,6.7
"1874","D82600",28.43,0.28,7.69,17.66,1.05,1.12,3.92,4.08,14.62,0.23,4.87,5.04
"1875","D82604",27.85,0.28,7.5,17.6,0.96,1.03,3.76,4.07,14.31,0.17,5.09,5.77
"1876","D82613",22.32,0.22,7.67,19.31,1.07,1.13,4.06,4.02,12.36,0.16,3.24,9.21
"1877","D82618",23.2,0.23,7.28,16.27,0.97,1.03,3.81,3.87,12.58,0.16,3.44,6.81
"1878","D82621",28,0.28,7.94,18.01,1.1,1.15,4.18,4.18,14.28,0.21,5,5.13
"1879","D82624",19.38,0.19,6.47,16.49,0.89,0.94,3.49,3.48,11.71,0.12,2.46,10.35
"1880","D82628",27.66,0.28,7.72,17.24,1.09,1.13,4.2,4.04,14.75,0.19,4.08,6.89
"1881","D82629",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA
"1882","D82632",19.52,0.2,7.15,17.03,0.93,0.96,3.81,3.71,11.9,0.14,3.67,12.47
"1883","D83001",24.6,0.25,7.42,15.39,0.99,1.05,3.92,3.94,13.19,0.17,4.38,7.54
"1884","D83002",22.89,0.23,7.79,19.34,1.08,1.13,4.23,4.05,12.81,0.16,3.85,15.28
"1885","D83003",26.44,0.26,7.25,15.62,1.01,1.03,4.25,3.88,14.84,0.17,3.92,6.24
"1886","D83004",22.23,0.22,7.08,15.5,0.93,0.96,3.75,3.71,12.66,0.14,3.9,4.1
"1887","D83005",24.25,0.24,7.62,15.83,1.03,1.07,4.13,4.03,13.32,0.16,3.65,7.33
"1888","D83006",25.57,0.26,7.13,15.59,0.99,1.03,3.96,3.78,14.25,0.17,3.99,2.83
"1889","D83007",23.56,0.24,7.11,15.94,0.98,1.04,3.81,3.78,13.24,0.14,3.35,8.03
"1890","D83008",19.97,0.2,7.03,16.77,0.94,0.97,3.62,3.58,12.05,0.13,3.48,7.01
"1891","D83009",25.46,0.25,7.5,17.38,1,1.06,4.06,4.05,13.59,0.16,4.31,8.48
"1892","D83010",28.1,0.28,7.94,17.79,1.1,1.16,4.02,4.16,14.25,0.21,5.66,9.24
"1893","D83011",25.45,0.25,7.77,17.36,1.06,1.12,4.12,4.08,13.5,0.19,5.04,9.96
"1894","D83012",20.51,0.21,7.16,16.46,0.96,1.02,3.63,3.74,12.15,0.14,2.99,9.73
"1895","D83013",24.51,0.25,7.72,15.74,1.04,1.08,4.17,4.08,13.5,0.18,4,5.55
"1896","D83014",27.28,0.27,7.36,16.51,1.01,1.08,3.83,3.87,14.44,0.19,4.61,7.85
"1897","D83015",26.48,0.26,7.23,16.47,0.99,1.05,3.78,3.82,13.45,0.18,4.94,7.1
"1898","D83016",24.64,0.25,7.81,18.35,1.06,1.12,4.19,4.15,13.25,0.18,4.54,7.66
"1899","D83017",23.27,0.23,7.01,15.8,0.95,0.99,3.79,3.71,13.12,0.16,3.64,6.12
"1900","D83018",23.4,0.23,7.69,15.22,1.06,1.08,3.96,3.86,13.25,0.15,3.72,10.59
"1901","D83019",23.83,0.24,6.66,15.99,0.92,0.95,3.82,3.59,13.91,0.15,3.18,4.02
"1902","D83020",24.05,0.24,7.09,15.15,0.97,1.01,3.98,3.8,13.43,0.15,4.14,7.87
"1903","D83021",19.75,0.2,7.19,16.65,0.97,1.03,3.62,3.73,11.88,0.13,3.42,6.82
"1904","D83022",28.67,0.29,7.42,16.12,1.03,1.07,4.19,3.97,14.59,0.19,4.78,6.33
"1905","D83023",23.77,0.24,7.65,19.01,1.05,1.09,4.21,4.02,13.04,0.14,3.4,1.38
"1906","D83024",21.67,0.22,6.97,16.05,0.93,0.96,3.6,3.62,12.39,0.14,2.98,4.66
"1907","D83026",24.01,0.24,6.82,15.2,0.92,0.96,3.86,3.7,13.58,0.15,4.03,4.29
"1908","D83027",20.35,0.2,6.89,16.21,0.95,0.98,3.66,3.59,12.31,0.12,2.69,8.38
"1909","D83028",24.72,0.25,6.9,16.24,0.96,0.98,3.98,3.72,13.88,0.16,3.88,5.37
"1910","D83029",21.57,0.22,7.32,15.68,0.98,1.01,3.9,3.83,12.82,0.12,2.64,4.92
"1911","D83030",22.65,0.23,7.43,19.3,1,1.04,4.04,3.9,12.84,0.15,4.11,5.62
"1912","D83033",24.63,0.25,6.94,15.79,0.96,1,3.88,3.71,13.9,0.16,3.49,4.47
"1913","D83034",25.22,0.25,7.38,16.84,1.03,1.06,4.08,3.94,13.89,0.16,3.86,8.03
"1914","D83035",27.49,0.27,7.39,16.88,1.01,1.06,4.05,3.95,14.5,0.17,4.75,8.02
"1915","D83036",29.33,0.29,7.41,16.21,0.98,1.04,4.05,4.01,14.75,0.19,4.75,3.93
"1916","D83037",23.85,0.24,7.43,15.71,1.03,1.09,3.84,3.86,13.16,0.16,4.28,8.63
"1917","D83038",20.97,0.21,7.05,15.6,0.95,0.99,3.74,3.73,12.1,0.13,3.3,11.44
"1918","D83039",19.37,0.19,7.35,17.36,1.01,1.04,3.83,3.74,11.67,0.12,3.14,11.28
"1919","D83040",23.39,0.23,7.41,16.11,1,1.04,3.99,3.91,13.02,0.15,3.26,5.76
"1920","D83041",23.25,0.23,6.67,15.78,0.93,0.96,3.72,3.56,13.51,0.14,3.39,7.79
"1921","D83043",25.71,0.26,7.19,15.68,0.99,1.01,4.12,3.84,14.44,0.15,4.11,5.11
"1922","D83044",21.2,0.21,7.23,15.95,1,1.04,3.95,3.79,12.49,0.15,3.33,9.18
"1923","D83045",24.71,0.25,7.66,14.42,1.03,1.03,4.2,3.95,13.85,0.16,3.97,5.46
"1924","D83046",20.79,0.21,7.09,15.13,0.94,0.97,3.68,3.66,12.11,0.12,3.11,11.14
"1925","D83047",23.21,0.23,7.65,17.59,1.05,1.11,3.94,4.02,12.74,0.17,3.55,11.6
"1926","D83048",24.88,0.25,7.3,16.45,1,1.05,3.77,3.8,13.12,0.18,5.49,5.39
"1927","D83049",25.59,0.26,7.39,15.2,1.01,1.07,3.93,3.86,13.6,0.19,4.75,7.61
"1928","D83050",22.15,0.22,7.59,16.2,1.01,1.04,3.9,3.88,12.69,0.14,4.02,7.17
"1929","D83051",20.42,0.2,6.95,16.17,0.94,0.97,3.65,3.61,12.11,0.12,3.25,8.71
"1930","D83052",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA
"1931","D83053",25.68,0.26,7.35,16.39,1.04,1.07,4.14,3.87,14.22,0.18,4.69,9.29
"1932","D83054",26.19,0.26,6.89,14.99,0.97,0.98,4.01,3.64,14.78,0.19,4.26,4.99
"1933","D83055",23.79,0.24,7.09,15.74,0.96,1.02,3.8,3.79,13.38,0.18,3.36,7.81
"1934","D83056",20.25,0.2,7.13,18.15,0.98,1.01,3.74,3.67,11.93,0.14,3.59,6.94
"1935","D83057",23.81,0.24,7.01,15.33,0.95,1,3.78,3.71,13.02,0.16,3.71,7.49
"1936","D83058",21.62,0.22,7.76,15.83,1.06,1.09,3.86,3.86,12.54,0.16,3.78,13.51
"1937","D83059",17.99,0.18,7.01,17.08,0.95,0.98,3.57,3.54,11.33,0.12,2.95,14.33
"1938","D83060",23.72,0.24,7.3,16.99,0.99,1.04,3.93,3.9,13.38,0.16,3.54,11.08
"1939","D83061",23.24,0.23,6.75,15.65,0.93,0.96,3.77,3.61,13.38,0.13,3.57,6.28
"1940","D83062",25.06,0.25,7.52,17.02,1.04,1.07,4.06,3.95,13.64,0.2,4.29,7.21
"1941","D83064",24.68,0.25,7.6,15.77,1.05,1.09,4.21,3.99,14.16,0.17,4.1,6.66
"1942","D83067",19.64,0.2,6.88,15.99,0.93,0.96,3.71,3.62,12.22,0.09,2.42,9.14
"1943","D83069",25.81,0.26,7.14,15.85,0.98,1.01,4.03,3.84,14.45,0.17,3.7,5.79
"1944","D83070",25.04,0.25,7.36,16.28,1,1.04,4.17,3.96,13.98,0.2,3.8,5
"1945","D83071",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
"1946","D83073",18.17,0.18,7.4,15.79,0.97,0.99,3.85,3.81,11.59,0.13,3.3,5.03
"1947","D83074",16.91,0.17,6.94,16.05,0.92,0.95,3.58,3.55,11.11,0.09,2.22,10.61
"1948","D83075",21.88,0.22,7.02,17.37,0.94,1,3.67,3.75,12.67,0.12,3.46,11.49
"1949","D83076",27.28,0.27,7.38,15.81,1,1.03,4.16,3.95,14.79,0.15,3.84,3.29
"1950","D83078",19.09,0.19,6.79,15.56,0.95,0.98,3.58,3.45,12.1,0.11,2.49,6.98
"1951","D83079",21.78,0.22,6.85,16.6,0.95,0.99,3.84,3.64,12.71,0.15,3.67,4.74
"1952","D83080",22.21,0.22,6.75,14.92,0.88,0.93,3.56,3.6,11.96,0.14,3.48,5.89
"1953","D83081",20.87,0.21,6.67,18.11,0.94,1,3.44,3.46,11.94,0.15,3.41,17.88
"1954","D83082",23.84,0.24,6.85,16.82,0.94,0.99,3.55,3.6,12.94,0.13,4.09,5.16
"1955","D83084",20.47,0.2,7.24,14.72,0.95,1.01,3.76,3.84,11.53,0.15,3.71,8.6
"1956","D83608",24.96,0.25,7.42,18.24,1.02,1.08,3.95,3.93,13.22,0.17,3.86,7.96
"1957","D83610",19.62,0.2,6.68,16.76,0.9,0.94,3.66,3.58,11.85,0.1,2.61,7.41
"1958","D83615",22.36,0.22,7.33,16.22,1.01,1.06,3.8,3.79,12.8,0.17,4.52,15.39
"1959","D83618",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA
"1960","D83619",22.42,0.22,7.65,18.98,1.05,1.1,4.02,4,12.55,0.16,4.54,12.99
"1961","E81001",19.16,0.19,7.93,11.46,0.99,0.93,3.62,3.62,11.57,0.11,1.78,9.39
"1962","E81002",19.03,0.19,6.64,15.45,0.89,0.95,3.39,3.48,11.22,0.13,2.9,12.66
"1963","E81003",21.83,0.22,7.4,15.45,1,1.05,3.81,3.85,12.39,0.15,3.38,6.33
"1964","E81004",20.81,0.21,7.08,15.52,0.96,1.02,3.64,3.7,12.14,0.13,2.83,4.59
"1965","E81005",22.26,0.22,9.13,11.2,1.11,1.04,3.96,4.01,12.06,0.14,3.21,5.86
"1966","E81006",21.97,0.22,7.9,13.98,1.01,1.02,3.85,3.92,12.28,0.16,2.34,5.9
"1967","E81007",22.22,0.22,6.85,15.43,0.91,0.97,3.6,3.67,12.72,0.16,3.17,4.15
"1968","E81008",20.89,0.21,7.8,14.42,1,1,3.59,3.75,11.78,0.13,2.73,6.2
"1969","E81009",21.91,0.22,7.45,15.51,0.98,1.02,3.84,3.89,12.6,0.16,3.23,9.85
"1970","E81010",22.94,0.23,9.02,11.49,1.06,1.02,3.81,4.09,11.82,0.14,3.31,3.81
"1971","E81011",20.49,0.2,7.09,14.39,0.9,0.93,3.43,3.55,11.81,0.13,3.18,13.7
"1972","E81012",22.48,0.22,6.73,15.33,0.91,0.96,3.62,3.61,12.85,0.14,2.78,3.88
"1973","E81013",17.69,0.18,8.56,11.75,1.03,0.99,3.89,3.92,10.97,0.11,2.07,7.7
"1974","E81014",20.45,0.2,6.79,15.87,0.92,0.96,3.47,3.52,12.16,0.13,3.29,11.54
"1975","E81015",19.82,0.2,6.69,15.34,0.9,0.96,3.44,3.54,11.47,0.14,2.8,7.32
"1976","E81016",20.52,0.21,8.92,10.37,1.07,1,3.52,3.8,11.03,0.14,2.55,6.36
"1977","E81017",22.99,0.23,7.43,14.11,0.96,0.98,3.61,3.72,12.6,0.16,3.68,8.48
"1978","E81018",22.78,0.23,8.91,10.73,1.06,1,3.76,3.97,11.95,0.14,3.26,4.46
"1979","E81019",18.23,0.18,7.09,15.04,0.93,0.95,3.35,3.44,11.03,0.12,2.8,11.44
"1980","E81020",22.39,0.22,7.53,14.26,0.96,0.97,3.65,3.76,12.39,0.14,3.52,4.91
"1981","E81021",18.16,0.18,7.9,12.98,0.99,0.98,3.46,3.64,10.87,0.11,2.61,3.95
"1982","E81022",19.53,0.2,6.63,15.41,0.89,0.94,3.44,3.5,11.64,0.14,2.29,6.09
"1983","E81023",20.93,0.21,7.39,14.25,0.97,0.98,3.57,3.64,12.15,0.14,2.76,10.17
"1984","E81024",23.27,0.23,6.69,14.97,0.86,0.92,3.6,3.68,13.08,0.17,3.66,9.15
"1985","E81025",25.25,0.25,9.44,11.22,1.12,1.06,4.03,4.2,12.79,0.17,3.33,5.45
"1986","E81026",19.64,0.2,7.51,13.35,0.96,0.95,3.53,3.58,11.51,0.14,2.83,6.74
"1987","E81027",19.72,0.2,6.82,16.54,0.94,0.97,3.32,3.41,11.91,0.14,2.66,10.82
"1988","E81028",18.23,0.18,8.54,10.75,1.04,0.97,3.55,3.66,10.47,0.11,2.25,8.57
"1989","E81029",20.85,0.21,7.49,14.83,0.96,1,3.69,3.79,11.78,0.15,3.37,8.63
"1990","E81030",19.62,0.2,7.72,13.95,0.98,0.99,3.55,3.69,11.36,0.15,4.3,8.38
"1991","E81031",22.94,0.23,7.48,15,0.98,1.03,3.78,3.9,12.81,0.18,3.7,6.43
"1992","E81032",18.16,0.18,8.08,11.79,0.99,0.94,3.6,3.65,10.87,0.09,2.1,5.17
"1993","E81033",20.84,0.21,6.96,15.38,0.94,0.99,3.72,3.7,12.11,0.12,2.74,7.06
"1994","E81034",20.92,0.21,7.12,15.34,0.97,1.01,3.83,3.77,12.14,0.14,3.24,7.91
"1995","E81035",20.73,0.21,6.93,15.98,0.96,1.01,3.59,3.6,12.3,0.14,3.32,7.49
"1996","E81036",21.5,0.22,7.03,15.58,0.99,1.03,3.79,3.68,12.62,0.14,3.65,5.19
"1997","E81037",22.92,0.23,7.25,14.21,0.93,0.96,3.62,3.71,12.58,0.17,3.89,10.9
"1998","E81038",22.32,0.22,7.64,14.42,1.02,1.04,3.66,3.74,12.47,0.14,3.7,10.08
"1999","E81040",23.04,0.23,7.99,13.43,0.99,1,3.77,3.94,12.44,0.17,3.29,8.53
"2000","E81041",21.53,0.22,8.5,12.3,1.02,0.98,3.76,3.91,11.61,0.11,3.7,6.97
"2001","E81043",15.94,0.16,7.34,13.1,0.94,0.97,3.72,3.76,10.45,0.11,2.29,9
"2002","E81044",18.97,0.19,6.7,15.74,0.91,0.96,3.49,3.52,11.49,0.11,2.69,9.33
"2003","E81045",24.07,0.24,8.03,15.05,1.05,1.09,4.06,4.13,13.2,0.17,3.56,7.96
"2004","E81046",23.09,0.23,7.83,14.17,1.03,1.07,3.96,4,12.42,0.17,3.26,5.01
"2005","E81047",17.59,0.18,7.1,13.86,0.91,0.93,3.46,3.59,10.64,0.1,2.23,5.65
"2006","E81048",19.67,0.2,8.34,11.49,1.02,0.97,3.59,3.7,11.22,0.11,2.62,4.76
"2007","E81049",23,0.23,7.56,13.99,0.96,0.97,3.74,3.8,12.77,0.14,3.38,7.97
"2008","E81050",22.33,0.22,7.18,14.13,0.93,0.98,3.58,3.67,12.44,0.14,3.07,6.17
"2009","E81052",20.67,0.21,7.07,15.66,0.93,0.97,3.65,3.71,12.17,0.15,2.77,9.31
"2010","E81054",21.22,0.21,8.24,12.04,1.01,0.98,3.54,3.73,11.52,0.13,2.49,7.1
"2011","E81056",19.5,0.2,7.22,14.62,0.94,0.95,3.43,3.54,11.64,0.13,2.73,5.8
"2012","E81057",20.04,0.2,6.96,15.78,0.97,1.01,3.75,3.65,12.01,0.13,2.96,8.27
"2013","E81059",21.62,0.22,7.16,15.74,0.97,1.02,3.74,3.75,12.57,0.16,3.62,8.26
"2014","E81060",21.43,0.21,7.39,14.25,0.93,0.95,3.56,3.69,12.13,0.16,3.23,5.41
"2015","E81061",20.52,0.21,6.82,15.08,0.91,0.97,3.53,3.6,11.94,0.14,2.85,7.12
"2016","E81062",18.74,0.19,7.37,14.55,0.97,0.97,3.44,3.52,11.29,0.13,3.08,5.92
"2017","E81063",16.42,0.16,8.61,9.46,1.02,0.94,3.25,3.49,9.58,0.11,2.74,2.99
"2018","E81064",19.78,0.2,7.53,12.62,0.95,0.93,3.5,3.58,11.18,0.13,2.24,5.26
"2019","E81065",17.95,0.18,9.21,9.36,1.06,0.96,3.53,3.75,10.38,0.11,1.83,8.81
