"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"51","A81054",22.35,0.22,7.07,18.75,0.98,1.03,3.88,3.75,12.52,0.17,3.92,7.11
"52","A81056",23.31,0.23,7.16,17.98,1,1.05,3.87,3.84,12.9,0.2,4.64,5.65
"53","A81057",20.82,0.21,6.51,18.74,0.92,0.98,3.56,3.53,11.92,0.13,3.68,8.3
"54","A81058",22.3,0.22,7.06,18.55,0.97,1.04,3.7,3.72,12.37,0.14,3.98,9.19
"55","A81060",23.33,0.23,7.23,19.09,1,1.05,3.92,3.86,12.6,0.12,4.78,3.35
"56","A81063",23.02,0.23,7.52,19.47,1.03,1.08,3.99,3.95,12.68,0.17,4.04,3.59
"57","A81064",17.79,0.18,7.53,14.54,0.98,0.98,3.78,3.67,11.21,0.1,3.16,7.73
"58","A81065",20.69,0.21,7.06,20.53,1.04,1.08,3.84,3.64,12.19,0.15,4.33,6.37
"59","A81066",23.09,0.23,6.89,16.68,0.95,0.99,3.78,3.71,13.04,0.17,3.53,13.39
"60","A81067",15.7,0.16,6.63,17.43,0.92,0.95,3.46,3.41,9.83,0.1,3.18,7.35
"61","A81069",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
"62","A81070",18.65,0.19,6.84,20.93,0.96,1,3.75,3.62,11.3,0.11,2.76,6.47
"63","A81602",24.32,0.24,7.66,17.26,1.04,1.09,4.16,4.11,13.2,0.2,4.95,2.13
"64","A81605",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA
"65","A81608",17.77,0.18,6.6,18.32,0.91,0.95,3.49,3.45,11.14,0.14,3.09,11.41
"66","A81609",17.88,0.18,6.42,18.42,0.9,0.91,3.39,3.28,11.33,0.13,2.82,15.34
"67","A81610",20.46,0.2,6.53,18.27,0.91,0.96,3.59,3.56,11.88,0.13,3.65,10.28
"68","A81611",21.06,0.21,6.8,18.39,0.94,1,3.59,3.58,12.1,0.15,3.66,10.2
"69","A81612",23.8,0.24,7.3,18.46,1.02,1.05,4.09,3.9,13.01,0.21,5.44,5.04
"70","A81613",22.21,0.22,6.8,19.68,0.96,1.01,3.71,3.62,12.44,0.15,4.04,4.37
"71","A81618",25.22,0.25,7.65,18.45,1.07,1.11,4.22,4.02,13.28,0.17,4.24,10.07
"72","A81621",16.3,0.16,5.94,20.72,0.87,0.91,3.29,3.08,10.62,0.09,2.84,18.29
"73","A81622",21.72,0.22,7.37,19.37,1.02,1.07,3.98,3.9,12.17,0.17,3.79,8.2
"74","A81623",14.04,0.14,5.85,18.58,0.84,0.85,3.1,3,10.12,0.11,3.79,6.26
"75","A81629",21.44,0.21,7.59,17.22,1.03,1.06,3.94,3.84,12.24,0.14,4.17,15.4
"76","A81630",12.82,0.13,4.87,15.71,0.67,0.63,2.58,2.46,10.61,0.01,0.54,32.33
"77","A81631",22.37,0.22,7.49,19.48,1.02,1.08,4.03,3.98,12.31,0.17,3.85,2.65
"78","A81632",12.38,0.12,4.75,17.18,0.66,0.64,2.57,2.47,10.31,0.02,0.14,27.09
"79","A81633",7.61,0.08,NA,11.82,NA,NA,NA,NA,8.37,0.03,NA,4.57
"80","A81634",8.91,0.09,7.22,16.32,0.89,0.87,3.83,3.64,8.39,0.02,0.13,10.93
"81","A82003",24.24,0.24,7.27,17.13,0.99,1.05,3.93,3.9,13.26,0.17,4.61,9.23
"82","A82004",24.74,0.25,6.77,17.08,0.95,0.97,4.04,3.69,14.14,0.2,3.39,9.68
"83","A82005",21.13,0.21,7.39,15.7,1.01,1.05,3.96,3.87,12.74,0.16,3.92,8.66
"84","A82006",25.87,0.26,7.45,16.68,1.02,1.06,4.12,3.98,14.35,0.17,4.42,4.39
"85","A82007",22.77,0.23,7.4,19.89,1.03,1.08,3.99,3.85,12.53,0.13,4.29,3.63
"86","A82008",24.2,0.24,7.58,19.28,1.04,1.09,4.13,3.99,13.04,0.12,4.3,6.85
"87","A82009",23.34,0.23,7.64,19.9,1.07,1.12,4.13,3.98,12.68,0.18,5.01,9.2
"88","A82010",22.07,0.22,6.63,19.37,0.92,0.98,3.66,3.55,12.27,0.17,3.95,12.74
